catalogue	title	thumbnailUrl	sources	processingLevel	areas	geoResolution	vertLevels	tempExtentBegin	tempResolutions	stacOrCswBbox	stacOrCswTbox	mainVariables	_isViewableOmi	numLayers	thumbnailMeta	tempExtentEnd	omiFigureUrl
CMEMS	Arctic Ocean Biogeochemistry Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/ARCTIC_ANALYSISFORECAST_BGC_002_004.jpg	['Numerical models']	Level 4	['Arctic Ocean']	{'row': {'magnitude': 6.25, 'units': 'km'}, 'column': {'magnitude': 6.25, 'units': 'km'}}	40	2019-05-04	['Daily', 'Monthly']	[-180, 50, 179.92000000005623, 90]	['2019-01-01T00:00:00.000Z', '2026-02-23T00:00:00.000Z']	['Plankton', 'Organic carbon', 'Nutrients', 'Oxygen', 'Carbonate system', 'Optics']	False	28	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Arctic Ocean Sea Ice Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/ARCTIC_ANALYSISFORECAST_PHY_ICE_002_011.jpg	['Numerical models']	Level 4	['Arctic Ocean']	{'row': {'magnitude': 3, 'units': 'km'}, 'column': {'magnitude': 3, 'units': 'km'}}		2019-08-01	['Hourly', 'Monthly']	[-180, 52.6, 179.98499999999996, 89.99999999999787]	['2019-08-01T00:00:00.000Z', '2026-02-21T23:00:00.000Z']	['Sea ice']	False	22	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Arctic Ocean Tidal Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/ARCTIC_ANALYSISFORECAST_PHY_TIDE_002_015.jpg	['Numerical models']	Level 4	['Arctic Ocean']	{'row': {'magnitude': 3, 'units': 'km'}, 'column': {'magnitude': 3, 'units': 'km'}}		2018-01-01	['Sub-hourly']	[-179.97, 41.13, 179.97, 89.97]	['2018-01-01T00:00:00.000Z', '2026-02-23T23:45:00.000Z']	[]	False	5	{'basemapId': 'dark', 'overlays': {'tags': [{'name': 'Tide'}]}}		
CMEMS	Arctic Ocean Physics Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/ARCTIC_MULTIYEAR_PHY_002_003.jpg	['Numerical models']	Level 4	['Arctic Ocean']	{'row': {'magnitude': 12.5, 'units': 'km'}, 'column': {'magnitude': 12.5, 'units': 'km'}}	40	1993-01-01	['Monthly', 'Daily']	[-180, 50, 179.875, 90]	['1991-01-01T00:00:00.000Z', '2025-10-31T00:00:00.000Z']	['Sea ice']	False	59	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Arctic Ocean Wave Hindcast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/ARCTIC_MULTIYEAR_WAV_002_013.jpg	['Numerical models']	Level 4	['Arctic Ocean']	{'row': {'magnitude': 3, 'units': 'km'}, 'column': {'magnitude': 3, 'units': 'km'}}		1964-01-01	['Hourly', 'Multi-yearly']	[-180, 53, 180, 90]	['1964-01-01T00:00:00.000Z', '2025-03-31T00:00:00.000Z']	['Velocity', 'Wave', 'Sea ice']	False	2	{'basemapId': 'light', 'overlays': {'tags': []}}	2025-03-31	
CMEMS	Arctic Ocean Biogeochemistry Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/ARCTIC_MULTIYEAR_BGC_002_005.jpg	['Numerical models']	Level 4	['Arctic Ocean']	{'row': {'magnitude': 25, 'units': 'km'}, 'column': {'magnitude': 25, 'units': 'km'}}	40	2007-01-01	['Monthly', 'Daily', 'Yearly']	[-180, 43.5, 179.75, 90]	['2007-01-01T00:00:00.000Z', '2022-12-31T00:00:00.000Z']	[]	False	30	{'basemapId': 'light', 'overlays': {'tags': []}}	2021-12-31	
CMEMS	Arctic Ocean Sea Ice Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/ARCTIC_MULTIYEAR_PHY_ICE_002_016.jpg	['Numerical models']	Level 4	['Arctic Ocean']	{'row': {'magnitude': 3, 'units': 'km'}, 'column': {'magnitude': 3, 'units': 'km'}}		1993-01-15	['Monthly']	[-180, 49.98, 179.97000000001367, 90.03000000000151]	['1993-01-01T00:00:00.000Z', '2024-12-31T00:00:00.000Z']	[]	False	33	{'basemapId': 'light', 'overlays': {'tags': []}}	2022-12-15	
CMEMS	Baltic Sea Physics Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/BALTICSEA_ANALYSISFORECAST_PHY_003_006.jpg	['Numerical models']	Level 4	['Baltic Sea']	{'row': {'magnitude': 2, 'units': 'km'}, 'column': {'magnitude': 2, 'units': 'km'}}	56	2021-11-30	['Hourly', 'Daily', 'Monthly', 'Sub-hourly']	[9.041532516479492, 53.00829315185547, 30.208656311035156, 65.89141845703125]	['2021-11-01T00:00:00.000Z', '2026-02-23T12:00:00.000Z']	['Temperature', 'Salinity', 'Sea surface height', 'Velocity', 'Mixed layer thickness', 'Sea ice']	False	49	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Baltic Sea Wave Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/BALTICSEA_ANALYSISFORECAST_WAV_003_010.jpg	['Numerical models']	Level 4	['Baltic Sea']	{'row': {'magnitude': 2, 'units': 'km'}, 'column': {'magnitude': 2, 'units': 'km'}}		2021-11-30	['Hourly']	[9.013887405395508, 53.0082893371582, 30.207738876342773, 65.90777587890625]	['2021-10-01T01:00:00.000Z', '2026-02-23T12:00:00.000Z']	['Velocity', 'Wave']	False	21	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Baltic Sea Biogeochemistry Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/BALTICSEA_ANALYSISFORECAST_BGC_003_007.jpg	['Numerical models']	Level 4	['Baltic Sea']	{'row': {'magnitude': 2, 'units': 'km'}, 'column': {'magnitude': 2, 'units': 'km'}}	56	2019-05-04	['Daily', 'Monthly']	[9.041532516479492, 53.00829315185547, 30.208656311035156, 65.89141845703125]	['2022-11-01T00:00:00.000Z', '2026-02-22T00:00:00.000Z']	[]	False	40	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Baltic Sea Physics Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/BALTICSEA_MULTIYEAR_PHY_003_011.jpg	['Numerical models']	Level 4	['Baltic Sea']	{'row': {'magnitude': 2, 'units': 'km'}, 'column': {'magnitude': 2, 'units': 'km'}}	56	1993-01-01	['Daily', 'Monthly', 'Yearly']	[9.041532516479492, 53.00829315185547, 30.20798683166504, 65.89141845703125]	['1993-01-01T00:00:00.000Z', '2024-12-31T00:00:00.000Z']	['Temperature', 'Salinity', 'Sea surface height', 'Velocity', 'Mixed layer thickness', 'Sea ice']	False	40	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Baltic Sea Wave Hindcast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/BALTICSEA_MULTIYEAR_WAV_003_015.jpg	['Numerical models']	Level 4	['Baltic Sea']	{'row': {'magnitude': 2, 'units': 'km'}, 'column': {'magnitude': 2, 'units': 'km'}}		1980-01-01	['Hourly', 'Multi-yearly']	[9.013799667358398, 53.0082893371582, 30.20800018310547, 65.90809631347656]	['1980-01-01T01:00:00.000Z', '2025-11-01T00:00:00.000Z']	['Velocity', 'Wind', 'Wave']	False	28	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Baltic Sea Biogeochemistry Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/BALTICSEA_MULTIYEAR_BGC_003_012.jpg	['Numerical models']	Level 4	['Baltic Sea']	{'row': {'magnitude': 2, 'units': 'km'}, 'column': {'magnitude': 2, 'units': 'km'}}	56	1993-01-01	['Daily', 'Monthly', 'Yearly']	[9.041532516479492, 53.00829315185547, 30.20798683166504, 65.89141845703125]	['1993-01-01T00:00:00.000Z', '2024-12-31T00:00:00.000Z']	['Plankton', 'Nutrients', 'Oxygen', 'Carbonate system', 'Optics']	False	36	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Black Sea Physics Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/BLKSEA_ANALYSISFORECAST_PHY_007_001.jpg	['Numerical models']	Level 4	['Black Sea']	{'row': {'magnitude': 0.025, 'units': 'degree'}, 'column': {'magnitude': 0.025, 'units': 'degree'}}	121	2021-11-30	['Hourly', 'Daily', 'Monthly', 'Sub-hourly']	[25, 39.5, 42, 47.32500076293945]	['2021-11-01T00:00:00.000Z', '2026-02-23T00:00:00.000Z']	['Temperature', 'Salinity', 'Sea surface height', 'Velocity', 'Mixed layer thickness']	False	57	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Black Sea Waves Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/BLKSEA_ANALYSISFORECAST_WAV_007_003.jpg	['Numerical models']	Level 4	['Black Sea']	{'row': {'magnitude': 0.025, 'units': 'degree'}, 'column': {'magnitude': 0.025, 'units': 'degree'}}		2021-11-30	['Hourly']	[27.25, 40.5, 42, 47.32500076293945]	['2022-12-18T00:00:00.000Z', '2026-02-24T11:00:00.000Z']	['Velocity', 'Wave']	False	23	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Black Sea Biogeochemistry Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/BLKSEA_ANALYSISFORECAST_BGC_007_010.jpg	['Numerical models']	Level 4	['Black Sea']	{'row': {'magnitude': 0.025, 'units': 'degree'}, 'column': {'magnitude': 0.025, 'units': 'degree'}}	59	2021-11-30	['Daily', 'Monthly', 'Hourly']	[27.25, 40.5, 42, 47]	['2023-10-01T00:00:00.000Z', '2026-02-23T23:00:00.000Z']	['Plankton', 'Nutrients', 'Oxygen', 'Carbonate system', 'Optics']	False	40	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Black Sea Physics Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/BLKSEA_MULTIYEAR_PHY_007_004.jpg	['Numerical models']	Level 4	['Black Sea']	{'row': {'magnitude': 0.025, 'units': 'degree'}, 'column': {'magnitude': 0.025, 'units': 'degree'}}	121	1993-01-01	['Daily', 'Monthly', 'Yearly', 'Multi-yearly']	[27.25, 40.5, 42, 47]	['1993-01-01T00:00:00.000Z', '2025-12-01T00:00:00.000Z']	['Temperature', 'Salinity', 'Sea surface height', 'Velocity', 'Mixed layer thickness']	False	66	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Black Sea Waves Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/BLKSEA_MULTIYEAR_WAV_007_006.jpg	['Numerical models']	Level 4	['Black Sea']	{'row': {'magnitude': 0.025, 'units': 'degree'}, 'column': {'magnitude': 0.025, 'units': 'degree'}}		1950-01-08	['Monthly', 'Hourly']	[27.25, 40.5, 42, 47]	['1950-01-08T00:00:00.000Z', '2025-12-31T23:00:00.000Z']	['Velocity', 'Wave']	False	34	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Black Sea Biogeochemistry Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/BLKSEA_MULTIYEAR_BGC_007_005.jpg	['Numerical models']	Level 4	['Black Sea']	{'row': {'magnitude': 0.025, 'units': 'degree'}, 'column': {'magnitude': 0.025, 'units': 'degree'}}	59	1992-01-01	['Daily', 'Monthly', 'Yearly']	[27.25, 40.5, 42, 47]	['1992-01-01T00:00:00.000Z', '2026-01-01T00:00:00.000Z']	['Sea surface height', 'Plankton', 'Nutrients', 'Oxygen', 'Carbonate system']	False	54	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Atlantic-Iberian Biscay Irish- Ocean Physics Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/IBI_ANALYSISFORECAST_PHY_005_001.jpg	['Numerical models']	Level 4	['Atlantic: Iberia-Biscay-Ireland', 'Atlantic: North']	{'row': {'magnitude': 0.028, 'units': 'degree'}, 'column': {'magnitude': 0.028, 'units': 'degree'}}	50	2023-11-22	['Hourly', 'Daily', 'Monthly', 'Sub-hourly']	[-19.082841873168945, 26.16535726, 5.084567070007324, 56.082942962646484]	['2022-11-22T00:00:00.000Z', '2026-02-24T00:00:00.000Z']	['Temperature', 'Salinity', 'Sea surface height', 'Velocity', 'Mixed layer thickness']	False	51	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Atlantic-Iberian Biscay Irish- Ocean Wave Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/IBI_ANALYSISFORECAST_WAV_005_005.jpg	['Numerical models']	Level 4	['Atlantic: Iberia-Biscay-Ireland', 'Atlantic: North']	{'row': {'magnitude': 0.0278, 'units': 'degree'}, 'column': {'magnitude': 0.0278, 'units': 'degree'}}		2021-11-30	['Hourly']	[-19, 26, 5.000736236572266, 56.000919342041016]	['2022-11-26T00:00:00.000Z', '2026-02-23T23:00:00.000Z']	['Velocity', 'Wave']	False	23	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Atlantic-Iberian Biscay Irish- Ocean Biogeochemical Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/IBI_ANALYSISFORECAST_BGC_005_004.jpg	['Numerical models']	Level 4	['Atlantic: Iberia-Biscay-Ireland', 'Atlantic: North']	{'row': {'magnitude': 0.028, 'units': 'degree'}, 'column': {'magnitude': 0.028, 'units': 'degree'}}	50	2019-05-04	['Daily', 'Monthly']	[-19.0828411, 26.16535726, 5.084566999999999, 56.08294177]	['2022-11-23T00:00:00.000Z', '2026-02-21T00:00:00.000Z']	['Plankton', 'Nutrients', 'Oxygen', 'Carbonate system', 'Optics']	False	36	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Atlantic-Iberian Biscay Irish- Ocean Physics Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/IBI_MULTIYEAR_PHY_005_002.jpg	['Numerical models']	Level 4	['Atlantic: Iberia-Biscay-Ireland', 'Atlantic: North']	{'row': {'magnitude': 0.028, 'units': 'degree'}, 'column': {'magnitude': 0.028, 'units': 'degree'}}	50	1993-01-01	['Daily', 'Monthly', 'Yearly']	[-19.082841873168945, 26.16535758972168, 5.084567070007324, 56.082942962646484]	['1993-01-01T00:00:00.000Z', '2025-10-28T23:00:00.000Z']	['Temperature', 'Salinity', 'Sea surface height', 'Velocity', 'Mixed layer thickness']	False	118	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Atlantic -Iberian Biscay Irish- Ocean Wave Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/IBI_MULTIYEAR_WAV_005_006.jpg	['Numerical models']	Level 4	['Atlantic: Iberia-Biscay-Ireland', 'Atlantic: North']	{'row': {'magnitude': 0.027, 'units': 'degree'}, 'column': {'magnitude': 0.027, 'units': 'degree'}}		1980-01-01	['Hourly', 'Multi-yearly']	[-19, 26, 5.000736236572266, 56.000919342041016]	['1980-01-01T00:00:00.000Z', '2025-10-07T23:00:00.000Z']	['Velocity', 'Wind', 'Wave']	False	28	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Atlantic-Iberian Biscay Irish- Ocean BioGeoChemistry NON ASSIMILATIVE Hindcast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/IBI_MULTIYEAR_BGC_005_003.jpg	['Numerical models']	Level 4	['Atlantic: Iberia-Biscay-Ireland', 'Atlantic: North']	{'row': {'magnitude': 0.028, 'units': 'degree'}, 'column': {'magnitude': 0.028, 'units': 'degree'}}	50	1993-01-01	['Daily', 'Monthly', 'Yearly', 'Multi-yearly']	[-19.082841873168945, 26.16535758972168, 5.084567070007324, 56.082942962646484]	['1993-01-01T00:00:00.000Z', '2025-10-28T00:00:00.000Z']	[]	False	81	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Mediterranean Sea Physics Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/MEDSEA_ANALYSISFORECAST_PHY_006_013.jpg	['Numerical models']	Level 4	['Mediterranean Sea']	{'row': {'magnitude': 0.042, 'units': 'degree'}, 'column': {'magnitude': 0.042, 'units': 'degree'}}	141	2021-11-30	['Hourly', 'Daily', 'Monthly', 'Sub-hourly']	[-17.29166603088379, 30.1875, 36.29166793823242, 45.97916793823242]	['2023-11-01T00:00:00.000Z', '2026-02-23T23:00:00.000Z']	['Temperature', 'Salinity', 'Sea surface height', 'Velocity', 'Mixed layer thickness']	False	46	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Mediterranean Sea Waves Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/MEDSEA_ANALYSISFORECAST_WAV_006_017.jpg	['Numerical models']	Level 4	['Mediterranean Sea']	{'row': {'magnitude': 0.042, 'units': 'degree'}, 'column': {'magnitude': 0.042, 'units': 'degree'}}		2021-11-30	['Hourly']	[-18.125, 30.1875, 36.29166793823242, 45.97916793823242]	['2021-11-30T00:00:00.000Z', '2026-02-23T23:00:00.000Z']	['Velocity', 'Wave']	False	23	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Mediterranean Sea Biogeochemistry Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/MEDSEA_ANALYSISFORECAST_BGC_006_014.jpg	['Numerical models']	Level 4	['Mediterranean Sea']	{'row': {'magnitude': 0.042, 'units': 'degree'}, 'column': {'magnitude': 0.042, 'units': 'degree'}}	125	2020-11-29	['Daily', 'Monthly']	[-5.541666507720947, 30.1875, 36.29166793823242, 45.97916793823242]	['2023-10-01T00:00:00.000Z', '2026-02-23T00:00:00.000Z']	['Plankton', 'Nutrients', 'Oxygen', 'Carbonate system', 'Optics']	False	52	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Mediterranean Sea Physics Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/MEDSEA_MULTIYEAR_PHY_006_004.jpg	['Numerical models']	Level 4	['Mediterranean Sea']	{'row': {'magnitude': 0.042, 'units': 'degree'}, 'column': {'magnitude': 0.042, 'units': 'degree'}}	141	1987-01-01	['Daily', 'Monthly', 'Hourly']	[-6, 30.1875, 36.29166793823242, 45.97916793823242]	['1987-01-01T00:00:00.000Z', '2026-01-31T23:00:00.000Z']	['Temperature', 'Salinity', 'Sea surface height', 'Velocity', 'Mixed layer thickness']	False	70	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Mediterranean Sea Waves Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/MEDSEA_MULTIYEAR_WAV_006_012.jpg	['Numerical models']	Level 4	['Mediterranean Sea']	{'row': {'magnitude': 0.042, 'units': 'degree'}, 'column': {'magnitude': 0.042, 'units': 'degree'}}		1985-01-01	['Hourly', 'Monthly']	[-18.125, 30.1875, 36.29166793823242, 45.97916793823242]	['1985-01-01T00:00:00.000Z', '2025-12-31T23:00:00.000Z']	['Velocity', 'Wave']	False	23	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Mediterranean Sea Biogeochemistry Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/MEDSEA_MULTIYEAR_BGC_006_008.jpg	['Numerical models']	Level 4	['Mediterranean Sea']	{'row': {'magnitude': 0.042, 'units': 'degree'}, 'column': {'magnitude': 0.042, 'units': 'degree'}}	125	1999-01-01	['Monthly', 'Daily', 'Yearly']	[-5.541666507720947, 30.1875, 36.29166793823242, 45.97916793823242]	['1999-01-01T00:00:00.000Z', '2025-12-31T00:00:00.000Z']	['Plankton', 'Nutrients', 'Oxygen', 'Carbonate system']	False	66	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Atlantic - European North West Shelf - Ocean Physics Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/NWSHELF_ANALYSISFORECAST_PHY_004_013.jpg	['Numerical models']	Level 4	['Atlantic: NW European Shelf', 'Atlantic: North']	{'row': {'magnitude': 0.013, 'units': 'degree'}, 'column': {'magnitude': 0.03, 'units': 'degree'}}	33	2023-11-25	['Hourly', 'Daily', 'Sub-hourly']	[-16, 46, 13, 62.74324035644531]	['2023-09-29T00:00:00.000Z', '2026-02-21T00:00:00.000Z']	['Temperature', 'Salinity', 'Sea surface height', 'Velocity', 'Mixed layer thickness']	False	39	{'basemapId': 'dark', 'overlays': {'tags': []}}		
