id	title	type	snippet	provider	state_date	end_date	bbox	deprecated	keywords	catalog	url	license
AU/GA/DEM_1SEC/v10/DEM-H	DEM-H: Australian SRTM Hydrologically Enforced Digital Elevation Model	image	ee.Image('AU/GA/DEM_1SEC/v10/DEM-H')	Geoscience Australia	2010-02-01	2010-02-01	112.99, -44.06, 154, -9.99	False	australia, dem, elevation, elevation-topography, ga, geophysical, geoscience-australia, smoothed, srtm	https://storage.googleapis.com/earthengine-stac/catalog/AU/AU_GA_DEM_1SEC_v10_DEM-H.json	https://developers.google.com/earth-engine/datasets/catalog/AU_GA_DEM_1SEC_v10_DEM-H	CC-BY-4.0
AU/GA/DEM_1SEC/v10/DEM-S	DEM-S: Australian Smoothed Digital Elevation Model	image	ee.Image('AU/GA/DEM_1SEC/v10/DEM-S')	Geoscience Australia	2010-02-01	2010-02-01	112.99, -44.06, 154, -9.99	False	australia, dem, elevation, elevation-topography, ga, geophysical, geoscience-australia, smoothed, srtm	https://storage.googleapis.com/earthengine-stac/catalog/AU/AU_GA_DEM_1SEC_v10_DEM-S.json	https://developers.google.com/earth-engine/datasets/catalog/AU_GA_DEM_1SEC_v10_DEM-S	CC-BY-4.0
BIOPAMA/GlobalOilPalm/v1	Global Map of Oil Palm Plantations	image_collection	ee.ImageCollection('BIOPAMA/GlobalOilPalm/v1')	Biopama programme	2019-01-01	2019-12-31	-180, -90, 180, 90	False	agriculture, biodiversity, biopama, conservation, crop, global, landuse, palm, plantation	https://storage.googleapis.com/earthengine-stac/catalog/BIOPAMA/BIOPAMA_GlobalOilPalm_v1.json	https://developers.google.com/earth-engine/datasets/catalog/BIOPAMA_GlobalOilPalm_v1	CC-BY-4.0
BLM/AIM/v1/TerrADat/TerrestrialAIM	BLM AIM TerrADat TerrestrialAIM Point v1	table	ee.FeatureCollection('BLM/AIM/v1/TerrADat/TerrestrialAIM')	US Department of Interior Bureau of Land Management (BLM)	2011-05-10	2016-12-06	-180, -90, 180, 90	False	aim, biota, blm, ecosystems, endangered, environment, grsg, health, hydrology, landscape, range, soil, table, terradat, terrestrialaim, vegetation, wildlife	https://storage.googleapis.com/earthengine-stac/catalog/BLM/BLM_AIM_v1_TerrADat_TerrestrialAIM.json	https://developers.google.com/earth-engine/datasets/catalog/BLM_AIM_v1_TerrADat_TerrestrialAIM	CC0-1.0
BNETD/land_cover/v1	Cote d'Ivoire BNETD 2020 Land Cover Map	image_collection	ee.ImageCollection('BNETD/land_cover/v1')	BNETD-CIGN	2020-01-01	2021-01-01	-8.602, 4.3603, -2.493, 10.74	False	classification, deforestation, forest, landcover, landuse-landcover	https://storage.googleapis.com/earthengine-stac/catalog/BNETD/BNETD_land_cover_v1.json	https://developers.google.com/earth-engine/datasets/catalog/BNETD_land_cover_v1	CC-BY-4.0
BNU/FGS/CCNL/v1	CCNL: Consistent and Corrected Nighttime Light Dataset from DMSP-OLS (1992-2013) v1	image_collection	ee.ImageCollection('BNU/FGS/CCNL/v1')	Beijing Normal University	1992-01-01	2014-01-01	-180, -65, 180, 75	False	bnu, dmsp, eog, imagery, lights, nighttime, ols, population, visible, yearly	https://storage.googleapis.com/earthengine-stac/catalog/BNU/BNU_FGS_CCNL_v1.json	https://developers.google.com/earth-engine/datasets/catalog/BNU_FGS_CCNL_v1	CC-BY-4.0
CANADA/NFIS/NTEMS/CA_FOREST_AGE	Landsat-derived forest age for Canada 2019	image_collection	ee.ImageCollection('CANADA/NFIS/NTEMS/CA_FOREST_AGE')	National Forest Information System	2019-01-01	2020-01-01	-180, -90, 180, 90	False	canada, forest, forest-biomass	https://storage.googleapis.com/earthengine-stac/catalog/CANADA/CANADA_NFIS_NTEMS_CA_FOREST_AGE.json	https://developers.google.com/earth-engine/datasets/catalog/CANADA_NFIS_NTEMS_CA_FOREST_AGE	CC-BY-4.0
CAS/IGSNRR/PML/V2	PML_V2 0.1.4: Coupled Evapotranspiration and Gross Primary Production (GPP) [deprecated]	image_collection	ee.ImageCollection('CAS/IGSNRR/PML/V2')	PML_V2	2002-07-04	2017-12-27	-180, -60, 180, 90	True	evapotranspiration, gpp, plant-productivity, water-vapor	https://storage.googleapis.com/earthengine-stac/catalog/CAS/CAS_IGSNRR_PML_V2.json	https://developers.google.com/earth-engine/datasets/catalog/CAS_IGSNRR_PML_V2	CC-BY-4.0
CAS/IGSNRR/PML/V2_v017	PML_V2 0.1.7: Coupled Evapotranspiration and Gross Primary Product (GPP) [deprecated]	image_collection	ee.ImageCollection('CAS/IGSNRR/PML/V2_v017')	PML_V2	2000-02-26	2020-12-26	-180, -60, 180, 90	True	evapotranspiration, gpp, plant-productivity, water-vapor	https://storage.googleapis.com/earthengine-stac/catalog/CAS/CAS_IGSNRR_PML_V2_v017.json	https://developers.google.com/earth-engine/datasets/catalog/CAS_IGSNRR_PML_V2_v017	CC-BY-4.0
CAS/IGSNRR/PML/V2_v018	PML_V2 0.1.8: Coupled Evapotranspiration and Gross Primary Product (GPP)	image_collection	ee.ImageCollection('CAS/IGSNRR/PML/V2_v018')	PML_V2	2000-02-26	2023-12-27	-180, -60, 180, 90	False	evapotranspiration, gpp, plant-productivity, water-vapor	https://storage.googleapis.com/earthengine-stac/catalog/CAS/CAS_IGSNRR_PML_V2_v018.json	https://developers.google.com/earth-engine/datasets/catalog/CAS_IGSNRR_PML_V2_v018	CC-BY-4.0
CGIAR/SRTM90_V4	SRTM Digital Elevation Data Version 4	image	ee.Image('CGIAR/SRTM90_V4')	NASA/CGIAR	2000-02-11	2000-02-22	-180, -56, 180, 60	False	cgiar, dem, elevation, elevation-topography, geophysical, srtm, topography	https://storage.googleapis.com/earthengine-stac/catalog/CGIAR/CGIAR_SRTM90_V4.json	https://developers.google.com/earth-engine/datasets/catalog/CGIAR_SRTM90_V4	other
CIESIN/GPWv4/ancillary-data-grids	GPWv4: Gridded Population of the World Version 4, Ancillary Data Grids [deprecated]	image	ee.Image('CIESIN/GPWv4/ancillary-data-grids')	CIESIN	2000-01-01	2020-01-01	-180, -90, 180, 90	True	ciesin, gpw, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv4_ancillary-data-grids.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv4_ancillary-data-grids	CC-BY-4.0
CIESIN/GPWv4/population-count	GPWv4: Gridded Population of the World Version 4, Population Count [deprecated]	image_collection	ee.ImageCollection('CIESIN/GPWv4/population-count')	CIESIN	2000-01-01	2020-01-01	-180, -90, 180, 90	True	ciesin, gpw, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv4_population-count.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv4_population-count	CC-BY-4.0
CIESIN/GPWv4/population-density	GPWv4: Gridded Population of the World Version 4, Population Density [deprecated]	image_collection	ee.ImageCollection('CIESIN/GPWv4/population-density')	CIESIN	2000-01-01	2020-01-01	-180, -90, 180, 90	True	ciesin, gpw, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv4_population-density.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv4_population-density	CC-BY-4.0
CIESIN/GPWv4/unwpp-adjusted-population-count	GPWv4: Gridded Population of the World Version 4, UN-Adjusted Population Count [deprecated]	image_collection	ee.ImageCollection('CIESIN/GPWv4/unwpp-adjusted-population-count')	CIESIN	2000-01-01	2020-01-01	-180, -90, 180, 90	True	ciesin, gpw, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv4_unwpp-adjusted-population-count.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv4_unwpp-adjusted-population-count	CC-BY-4.0
CIESIN/GPWv4/unwpp-adjusted-population-density	GPWv4: Gridded Population of the World Version 4, UN-Adjusted Population Density [deprecated]	image_collection	ee.ImageCollection('CIESIN/GPWv4/unwpp-adjusted-population-density')	CIESIN	2000-01-01	2020-01-01	-180, -90, 180, 90	True	ciesin, gpw, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv4_unwpp-adjusted-population-density.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv4_unwpp-adjusted-population-density	CC-BY-4.0
CIESIN/GPWv411/GPW_Basic_Demographic_Characteristics	GPWv411: Basic Demographic Characteristics (Gridded Population of the World Version 4.11)	image_collection	ee.ImageCollection('CIESIN/GPWv411/GPW_Basic_Demographic_Characteristics')	NASA SEDAC at the Center for International Earth Science Information Network	2000-01-01	2020-01-01	-180, -90, 180, 90	False	ciesin, gpw, nasa, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv411_GPW_Basic_Demographic_Characteristics.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Basic_Demographic_Characteristics	CC-BY-4.0
CIESIN/GPWv411/GPW_Data_Context	GPWv411: Data Context (Gridded Population of the World Version 4.11)	image_collection	ee.ImageCollection('CIESIN/GPWv411/GPW_Data_Context')	NASA SEDAC at the Center for International Earth Science Information Network	2000-01-01	2020-01-01	-180, -90, 180, 90	False	ciesin, gpw, nasa, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv411_GPW_Data_Context.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Data_Context	CC-BY-4.0
CIESIN/GPWv411/GPW_Land_Area	GPWv411: Land Area (Gridded Population of the World Version 4.11)	image_collection	ee.ImageCollection('CIESIN/GPWv411/GPW_Land_Area')	NASA SEDAC at the Center for International Earth Science Information Network	2000-01-01	2020-01-01	-180, -90, 180, 90	False	ciesin, gpw, nasa, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv411_GPW_Land_Area.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Land_Area	CC-BY-4.0
CIESIN/GPWv411/GPW_Mean_Administrative_Unit_Area	GPWv411: Mean Administrative Unit Area (Gridded Population of the World Version 4.11)	image_collection	ee.ImageCollection('CIESIN/GPWv411/GPW_Mean_Administrative_Unit_Area')	NASA SEDAC at the Center for International Earth Science Information Network	2000-01-01	2020-01-01	-180, -90, 180, 90	False	ciesin, gpw, nasa, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv411_GPW_Mean_Administrative_Unit_Area.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Mean_Administrative_Unit_Area	CC-BY-4.0
CIESIN/GPWv411/GPW_National_Identifier_Grid	GPWv411: National Identifier Grid (Gridded Population of the World Version 4.11)	image_collection	ee.ImageCollection('CIESIN/GPWv411/GPW_National_Identifier_Grid')	NASA SEDAC at the Center for International Earth Science Information Network	2000-01-01	2020-01-01	-180, -90, 180, 90	False	ciesin, gpw, nasa, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv411_GPW_National_Identifier_Grid.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_National_Identifier_Grid	CC-BY-4.0
CIESIN/GPWv411/GPW_Population_Count	GPWv411: Population Count (Gridded Population of the World Version 4.11)	image_collection	ee.ImageCollection('CIESIN/GPWv411/GPW_Population_Count')	NASA SEDAC at the Center for International Earth Science Information Network	2000-01-01	2020-01-01	-180, -90, 180, 90	False	ciesin, gpw, nasa, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv411_GPW_Population_Count.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Population_Count	CC-BY-4.0
CIESIN/GPWv411/GPW_Population_Density	GPWv411: Population Density (Gridded Population of the World Version 4.11)	image_collection	ee.ImageCollection('CIESIN/GPWv411/GPW_Population_Density')	NASA SEDAC at the Center for International Earth Science Information Network	2000-01-01	2020-01-01	-180, -90, 180, 90	False	ciesin, gpw, nasa, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv411_GPW_Population_Density.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Population_Density	CC-BY-4.0
CIESIN/GPWv411/GPW_UNWPP-Adjusted_Population_Count	GPWv411: Adjusted to Match 2015 Revision of UN WPP Country Totals (Gridded Population of the World Version 4.11)	image_collection	ee.ImageCollection('CIESIN/GPWv411/GPW_UNWPP-Adjusted_Population_Count')	NASA SEDAC at the Center for International Earth Science Information Network	2000-01-01	2020-01-01	-180, -90, 180, 90	False	ciesin, gpw, nasa, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv411_GPW_UNWPP-Adjusted_Population_Count.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_UNWPP-Adjusted_Population_Count	CC-BY-4.0
CIESIN/GPWv411/GPW_UNWPP-Adjusted_Population_Density	GPWv411: UN-Adjusted Population Density (Gridded Population of the World Version 4.11)	image_collection	ee.ImageCollection('CIESIN/GPWv411/GPW_UNWPP-Adjusted_Population_Density')	NASA SEDAC at the Center for International Earth Science Information Network	2000-01-01	2020-01-01	-180, -90, 180, 90	False	ciesin, gpw, nasa, population	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv411_GPW_UNWPP-Adjusted_Population_Density.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_UNWPP-Adjusted_Population_Density	CC-BY-4.0
CIESIN/GPWv411/GPW_Water_Area	GPWv411: Water Area (Gridded Population of the World Version 4.11)	image_collection	ee.ImageCollection('CIESIN/GPWv411/GPW_Water_Area')	NASA SEDAC at the Center for International Earth Science Information Network	2000-01-01	2020-01-01	-180, -90, 180, 90	False	ciesin, gpw, nasa, population, surface-ground-water	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv411_GPW_Water_Area.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Water_Area	CC-BY-4.0
CIESIN/GPWv411/GPW_Water_Mask	GPWv411: Water Mask (Gridded Population of the World Version 4.11)	image_collection	ee.ImageCollection('CIESIN/GPWv411/GPW_Water_Mask')	NASA SEDAC at the Center for International Earth Science Information Network	2000-01-01	2020-01-01	-180, -90, 180, 90	False	ciesin, gpw, nasa, population, surface-ground-water	https://storage.googleapis.com/earthengine-stac/catalog/CIESIN/CIESIN_GPWv411_GPW_Water_Mask.json	https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Water_Mask	CC-BY-4.0
COPERNICUS/CORINE/V18_5_1/100m	Copernicus CORINE Land Cover [deprecated]	image_collection	ee.ImageCollection('COPERNICUS/CORINE/V18_5_1/100m')	EEA/Copernicus	1986-01-01	2012-12-31	-81.77, -29.2, 94.13, 73.81	True	clc, copernicus, corine, eea, esa, eu, landcover, landuse-landcover	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_CORINE_V18_5_1_100m.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_CORINE_V18_5_1_100m	other
COPERNICUS/CORINE/V20/100m	Copernicus CORINE Land Cover	image_collection	ee.ImageCollection('COPERNICUS/CORINE/V20/100m')	EEA/Copernicus	1986-01-01	2018-12-31	-81.77, -29.2, 94.13, 73.81	False	clc, copernicus, corine, eea, esa, eu, landcover, landuse-landcover	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_CORINE_V20_100m.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_CORINE_V20_100m	other
COPERNICUS/DEM/GLO30	Copernicus DEM GLO-30: Global 30m Digital Elevation Model	image_collection	ee.ImageCollection('COPERNICUS/DEM/GLO30')	Copernicus	2010-12-01	2015-01-31	-180, -90, 180, 90	False	copernicus, dem, elevation, elevation-topography, geophysical	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_DEM_GLO30.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_DEM_GLO30	other
COPERNICUS/Landcover/100m/Proba-V-C3/Global	Copernicus Global Land Cover Layers: CGLS-LC100 Collection 3	image_collection	ee.ImageCollection('COPERNICUS/Landcover/100m/Proba-V-C3/Global')	Copernicus	2015-01-01	2019-12-31	-180, -90, 180, 90	False	copernicus, eea, esa, eu, landcover, landuse-landcover, proba, probav, vito	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_Landcover_100m_Proba-V-C3_Global.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_Landcover_100m_Proba-V-C3_Global	other
COPERNICUS/Landcover/100m/Proba-V/Global	Copernicus Global Land Cover Layers: CGLS-LC100 Collection 2 [deprecated]	image_collection	ee.ImageCollection('COPERNICUS/Landcover/100m/Proba-V/Global')	Copernicus	2015-01-01	2015-01-01	-180, -90, 180, 90	True	copernicus, eea, esa, eu, landcover, landuse-landcover, proba, probav, vito	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_Landcover_100m_Proba-V_Global.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_Landcover_100m_Proba-V_Global	other
COPERNICUS/S1_GRD	Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling	image_collection	ee.ImageCollection('COPERNICUS/S1_GRD')	European Union/ESA/Copernicus	2014-10-03	2025-06-03	-180, -90, 180, 90	False	backscatter, copernicus, esa, eu, polarization, radar, sar, satellite-imagery, sentinel	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_S1_GRD.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S1_GRD	other
COPERNICUS/S2	Sentinel-2 MSI: MultiSpectral Instrument, Level-1C (TOA) [deprecated]	image_collection	ee.ImageCollection('COPERNICUS/S2')	European Union/ESA/Copernicus	2015-06-27	2025-06-04	-180, -56, 180, 83	True	copernicus, esa, eu, msi, radiance, satellite-imagery, sentinel	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_S2.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2	other
COPERNICUS/S2_CLOUD_PROBABILITY	Sentinel-2: Cloud Probability	image_collection	ee.ImageCollection('COPERNICUS/S2_CLOUD_PROBABILITY')	European Union/ESA/Copernicus/SentinelHub	2015-06-27	2025-06-04	-180, -56, 180, 83	False	cloud, copernicus, esa, eu, msi, radiance, satellite-imagery, sentinel, sentinelhub	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_S2_CLOUD_PROBABILITY.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2_CLOUD_PROBABILITY	other
COPERNICUS/S2_HARMONIZED	Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-1C (TOA)	image_collection	ee.ImageCollection('COPERNICUS/S2_HARMONIZED')	European Union/ESA/Copernicus	2015-06-27	2025-06-04	-180, -56, 180, 83	False	copernicus, esa, eu, msi, radiance, satellite-imagery, sentinel	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_S2_HARMONIZED.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2_HARMONIZED	other
COPERNICUS/S2_SR	Sentinel-2 MSI: MultiSpectral Instrument, Level-2A (SR) [deprecated]	image_collection	ee.ImageCollection('COPERNICUS/S2_SR')	European Union/ESA/Copernicus	2017-03-28	2025-06-03	-180, -56, 180, 83	True	copernicus, esa, eu, msi, reflectance, satellite-imagery, sentinel, sr	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_S2_SR.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2_SR	other
COPERNICUS/S2_SR_HARMONIZED	Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A (SR)	image_collection	ee.ImageCollection('COPERNICUS/S2_SR_HARMONIZED')	European Union/ESA/Copernicus	2017-03-28	2025-06-03	-180, -56, 180, 83	False	copernicus, esa, eu, msi, reflectance, satellite-imagery, sentinel, sr	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_S2_SR_HARMONIZED.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2_SR_HARMONIZED	other
COPERNICUS/S3/OLCI	Sentinel-3 OLCI EFR: Ocean and Land Color Instrument Earth Observation Full Resolution	image_collection	ee.ImageCollection('COPERNICUS/S3/OLCI')	European Union/ESA/Copernicus	2016-10-18	2025-06-03	-180, -90, 180, 90	False	copernicus, esa, eu, olci, radiance, satellite-imagery, sentinel, toa	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_S3_OLCI.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S3_OLCI	other
COPERNICUS/S5P/NRTI/L3_AER_AI	Sentinel-5P NRTI AER AI: Near Real-Time UV Aerosol Index	image_collection	ee.ImageCollection('COPERNICUS/S5P/NRTI/L3_AER_AI')	European Union/ESA/Copernicus	2018-07-10	2025-06-03	-180, -90, 180, 90	False	aai, aerosol, air-quality, atmosphere, copernicus, esa, eu, knmi, pollution, s5p, sentinel, tropomi, uvai	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_S5P_NRTI_L3_AER_AI.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_AER_AI	other
COPERNICUS/S5P/NRTI/L3_AER_LH	Sentinel-5P NRTI AER LH: Near Real-Time UV Aerosol Layer Height	image_collection	ee.ImageCollection('COPERNICUS/S5P/NRTI/L3_AER_LH')	European Union/ESA/Copernicus	2018-07-10	2025-06-03	-180, -90, 180, 90	False	aerosol, air-quality, alh, atmosphere, copernicus, esa, eu, knmi, pollution, s5p, sentinel, tropomi, uvai	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_S5P_NRTI_L3_AER_LH.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_AER_LH	other
COPERNICUS/S5P/NRTI/L3_CLOUD	Sentinel-5P NRTI CLOUD: Near Real-Time Cloud Properties	image_collection	ee.ImageCollection('COPERNICUS/S5P/NRTI/L3_CLOUD')	European Union/ESA/Copernicus	2018-07-05	2025-06-03	-180, -90, 180, 90	False	atmosphere, cloud, copernicus, dlr, esa, eu, s5p, sentinel, tropomi	https://storage.googleapis.com/earthengine-stac/catalog/COPERNICUS/COPERNICUS_S5P_NRTI_L3_CLOUD.json	https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_CLOUD	other
