title	id	url	slug	summary	access	created	updated	isPrivate	isApi	accessInfo
Data.Geo.Admin.Ch	30	https://data.geo.admin.ch/api/stac/v0.9/	datageoadminch	Data Catalog of the Swiss Federal Spatial Data Infrastructure	public	2021-03-01T09:17:22.119Z	2021-03-01T09:17:22.119Z	False	True	
Digital Earth Africa	37	https://explorer.digitalearth.africa/stac/	digital-earth-africa	Digital Earth Africa is a platform that uses spatial data and images recorded by satellites orbiting our planet to detect physical changes across Africa in unprecedented detail.	public	2021-07-19T14:23:00.911Z	2021-07-19T14:23:00.911Z	False	True	
Digital Earth Australia	36	https://explorer.sandbox.dea.ga.gov.au/stac/	digital-earth-au	Digital Earth Australia (DEA) is a platform that uses spatial data and images recorded by satellites orbiting our planet to detect physical changes across Australia in unprecedented detail.	public	2021-07-19T14:20:22.121Z	2021-07-19T14:20:22.121Z	False	True	
Digitale Orthophotos Niedersachsen	35	https://dop-stac.opengeodata.lgln.niedersachsen.de/catalog.json	digitale-orthophotos-niedersachsen	Digital orthophotos from Lower Saxony in Germany, provided by LGLN.	public	2021-07-06T00:07:56.234Z	2022-01-31T18:07:56.234Z	False	False	
Disasters Charter Mapper Catalog	45	https://supervisor.disasterscharter.org/api/catalog.json	disasters-charter-mapper-catalog	Satellite data to support disaster response worldwide.	protected	2021-12-09T20:26:47.852Z	2021-12-09T20:26:47.852Z	True	False	Some datasets are restricted by licensing to the exclusive usage for the disaster response by authorized users.
EO Data Cubes for Brazil - CBERS 4	63	https://bdc-cbers.s3.us-west-2.amazonaws.com/catalog.json	bdc-cbers	Catalogs of Brazil Data Cube (BDC) CBERS 4 Earth Observation data cube imagery on AWS.	public	2023-01-04T11:17:52.841Z	2023-01-04T11:17:52.841Z	False	False	
EO Data Cubes for Brazil - Sentinel 2	64	https://bdc-sentinel-2.s3.us-west-2.amazonaws.com/catalog.json	bdc-sentinel-2	Catalogs of Brazil Data Cube (BDC) Sentinel-2 (A+B) Earth Observation data cube imagery on AWS.	public	2023-01-04T11:19:31.343Z	2023-01-04T11:19:31.343Z	False	False	
EOC EO Products Service	76	https://geoservice.dlr.de/eoc/ogc/stac/v1/	eoc-eo-products-service	*BETA* Provides interoperable access to metadata from EO collections and products of DLR's Earth Observation Center (EOC). *BETA*	public	2023-08-02T11:32:30.353Z	2023-08-02T11:32:30.353Z	False	False	
EODC API (openEO)	4	https://openeo.eodc.eu/v1.0/	eodc-openeo	The EODC API provides access to the EODC services and data (Sentinel-1, Sentinel-2 and Sentinel-3), as well as access to the openEO endpoints.	protected	2020-08-20T00:00:00.000Z	2020-08-20T00:00:00.000Z	True	True	The EODC API is accessible for EODC partners only. You need to [contact](https://www.eodc.eu/contact/) EODC to subscribe to their services.
ERS open data	57	https://s3ext.gptl.ru/stac-web-free/catalog.json	ers-open-data	Some open data sets from the Russian Federal Space Agency, e.g. from the Meteor-M and Electro-L satellites.	public	2022-10-19T08:47:28.185Z	2023-02-15T11:00:00.000Z	False	True	
ESA Catalog	89	https://eocat.esa.int/eo-catalogue/	esa-catalog	ESA Catalog provides interoperable access, following ISO/OGC interface guidelines, to Earth Observation metadata.  See also https://eocat.esa.int.	public	2023-11-10T14:14:59.460Z	2023-11-10T14:14:59.460Z	False	True	
Earth Genome: Sentinel-2 L2A Temporal Mosaics	95	https://stac.earthgenome.org/	earth-genome	A publicly available STAC instance cataloging our data for the public good, including Sentinel-2 L2A Temporal Mosaics	public	2024-05-20T20:35:39.666Z	2024-05-20T20:35:39.666Z	False	False	
Earth Search	2	https://earth-search.aws.element84.com/v1/	earth-search	A STAC API of [AWS Public Datasets](https://registry.opendata.aws/).	public	2020-08-20T00:00:00.000Z	2023-03-10T19:00:00.000Z	False	True	
EcoDataCube.eu	88	https://s3.eu-central-1.wasabisys.com/stac/odse/catalog.json	eco-datacube	European layers organized / produced by GeoHarmonizer (project 2018-EU-IA-0095) and publicly available in [EcoDataCube](https://ecodatacube.eu) including Landsat and Sentinel-2 images, land cover & land use maps, tree species occurrences and soil predictions.	public	2023-11-06T14:26:50.113Z	2023-11-06T14:26:50.113Z	False	False	
Eurac Research (openEO)	23	https://openeo.eurac.edu/	eurac-research-openeo	The Eurac Research backend provides EO data available for processing using OGC WC(P)S and the open data cube	protected	2020-11-13T09:20:44.050Z	2020-11-13T09:20:44.050Z	True	True	Contact [Alexander Jacob from EURAC Research](https://www.eurac.edu/de/people/alexander-jacob?institute=institut-fuer-erdbeobachtung) for details.
FAIRiCUBE Hub Catalog	58	https://catalog.fairicube.eu/stac/index.json	fairicube-hub-catalog	A STAC catalog that contains all collections available on the FAIRiCUBE Hub and within the Sentinel Hub openEO backend.	public	2022-12-20T08:10:04.157Z	2023-02-15T11:00:00.000Z	False	False	
FMI ARD Finland	42	https://pta.data.lit.fmi.fi/stac/root.json	fmi-ard-finland	Analysis Ready Data from the Finnish Meteorological Institute in the Finnish reference grid epsg:3067. Sentinel-1 and -2 as dekad mosaics as main items, but many other related data sets over Finland are included as well. For example the forestry inventory data as COGs are available as well.	public	2021-11-06T07:05:11.515Z	2021-11-06T07:05:11.515Z	False	False	
FedEO Clearinghouse	15	https://fedeo.ceos.org/	fedeo-clearinghouse	FedEO Clearinghouse provides interoperable access, following ISO/OGC interface guidelines, to Earth Observation metadata	public	2020-09-02T03:08:35.077Z	2024-04-26T11:27:35.077Z	False	True	
Fiboa Field Boundaries	94	https://fiboa.org/stac/catalog.json	fiboa	The Field Boundaries for Agriculture (fiboa) project is focused on making field boundary data openly available in a unified format on a global scale. This STAC catalog provides a collection of field boundary data from various sources, but all converted to be fiboa compliant.	public	2024-05-03T21:27:19.565Z	2024-05-03T21:27:19.565Z	False	False	
GEP Supersites CSK and CSG data	77	https://gep-supersites-stac.terradue.com/	gep-supersites-csk-and-csg-data	GEP hosted CSK and CSG data for the Geohazard Supersites and Natural Laboratories GEO initiative	public	2023-08-14T12:30:51.121Z	2023-08-14T12:30:51.121Z	False	True	
GISTDA Drought Index in Thailand	79	https://disaster-vallaris.gistda.or.th/core/api/stac/1.0/Drought/?api_key=ErNGa8yrMWef0YutwmL7XvpwWQNCK2kVPNt5dAwWbBMnvDoifTEhD75H3DCENjKJ	gistda-drought-index-in-thailand	GISTDA Drought Index in Thailand, Data processing from MODIS Product.	public	2023-09-04T10:05:23.553Z	2023-09-04T10:05:23.553Z	False	False	
GISTDA Flood disaster in Thailand	80	https://disaster-vallaris.gistda.or.th/core/api/stac/1.0/Flood/?api_key=ErNGa8yrMWef0YutwmL7XvpwWQNCK2kVPNt5dAwWbBMnvDoifTEhD75H3DCENjKJ	gistda-flood-disaster-in-thailand	GISTDA Flood disaster in Thailand, Data processing from Sattalite Imagery.	public	2023-09-04T10:08:50.182Z	2023-09-04T10:08:50.182Z	False	False	
Geoportal Server	75	https://gpt.geocloud.com/sentinel/stac	geoportal-server	This STAC uses the open-source Esri Geoportal Server. Esri Geoportal Server is a generic metadata catalog solution that can be configured to support any XML or JSON based metadata structure.	public	2023-07-08T19:32:28.732Z	2023-07-08T19:32:28.732Z	False	True	
Google Earth Engine	21	https://earthengine-stac.storage.googleapis.com/catalog/catalog.json	google-earth-engine	List of all rasters and vectors present in the [Google Earth Engine Catalog](https://developers.google.com/earth-engine/datasets/).	public	2020-10-01T19:38:14.208Z	2020-10-01T19:38:14.208Z	False	False	
Google Earth Engine (openEO)	6	https://earthengine.openeo.org/v1.0/	google-earth-engine-openeo	This is the Google Earth Engine Driver for openEO. Google Earth Engine is a planetary-scale platform for Earth science data & analysis. It is powered by Google's cloud infrastructure and combines a multi-petabyte catalog of satellite imagery and geospatial datasets with planetary-scale analysis capabilities. Google makes it available for scientists, researchers, and developers to detect changes, map trends, and quantify differences on the Earth's surface.	public	2020-08-20T00:00:00.000Z	2023-02-15T11:00:00.000Z	False	True	
IDE Facultad de Ciencia y Tecnología UADER	53	https://raw.githubusercontent.com/IDE-FCyT/IDE-FCyT/main/catalog/stac_catalog.json	ide-facultad-de-ciencia-y-tecnologia-uader	Lista de raster y vectores presentes en la IDE de la Facultad de Ciencia y Tecnología - UADER 	public	2022-06-23T15:00:45.539Z	2022-06-23T15:00:45.539Z	False	False	
Kentucky From Above Catalog	93	https://kyfromabove-stac.s3.us-west-1.amazonaws.com/catalog.json	kyfromabove	The Kentucky From Above (KyFromAbove) program has acquired aerial imagery and elevation (LiDAR) data for the Commonwealth of Kentucky since 2011.   This catalog will contain subcatalogs of imagery: orthos and obliques, and elevation data: digital elevation model and point clouds.  	public	2024-05-03T20:31:18.314Z	2024-05-03T20:31:18.314Z	False	False	
MSC GeoMet - GeoMet-OGC-API	29	https://api.weather.gc.ca/stac/?f=json	msc-geomet	GeoMet-OGC-API provides public access to the Meteorological Service of Canada (MSC) and Environment and Climate Change Canada (ECCC) data via interoperable web services and application programming interfaces (API).	public	2021-02-19T21:48:40.527Z	2023-02-15T11:00:00.000Z	False	False	
Maxar ARD Sample Data	50	https://ard.maxar.com/samples/catalog.json	maxar-ard-sample-data	Root Catalog for Maxar ARD sample data.   All contents Ⓒ Maxar and for evaluation only.	public	2022-04-15T22:04:14.769Z	2022-04-15T22:04:14.769Z	False	False	
Maxar Open Data Catalog (ARD format)	56	https://maxar-opendata.s3.amazonaws.com/events/catalog.json	maxar-open-data-catalog-ard-format	Root catalog for the [Maxar Open Data Program](https://www.maxar.com/open-data) imagery generated through the Maxar ARD pipeline. 	public	2022-10-03T20:14:03.104Z	2022-10-03T20:14:03.104Z	False	False	
Microsoft Planetary Computer STAC API	32	https://planetarycomputer.microsoft.com/api/stac/v1/	microsoft-pc	Searchable spatiotemporal metadata describing Earth science datasets hosted by the Microsoft Planetary Computer	public	2021-05-03T16:29:53.726Z	2023-02-15T11:00:00.000Z	False	True	
Monthly Mosaic of Sentinel 2 Images for Catalonia	52	https://datacloud.icgc.cat/stac-catalog/catalog.json	catalonia-monthly-sentinel2	Monthly mosaics of sentinel-2 images over Catalonia, choosing lowest cloud coverage for each timespan. Indexes several collections of different Cloud Optimized Geotiffs: RGB de 8/16 bits, IRC  8/16 bits.	public	2022-06-03T11:53:57.125Z	2022-06-03T11:53:57.125Z	False	False	
Mundialis Actinia (Openeo)	24	https://openeo.mundialis.de/api/v1.0/	mundialis-actinia-openeo	Access to the mundialis Actinia service via an openEO interface.	protected	2020-11-13T09:22:13.399Z	2023-02-15T11:00:00.000Z	True	True	Contact [mundialis](https://www.mundialis.de/de/contact/) for details.
NASA CMR CLOUDSTAC Proxy	48	https://cmr.earthdata.nasa.gov/cloudstac/	nasa-cmr-cloudstac-proxy	"SpatioTemporal Asset Catalog API on top of [NASA's Common Metadata Repository](https://cmr.earthdata.nasa.gov/search/). The Common Metadata Repository (CMR) is a high-performance, high-quality, continuously evolving metadata system that catalogs Earth Science data and associated service metadata records.  This API only contains STAC Collections where the Item Assets are available ""in the cloud"" (i.e., on s3)."	public	2022-02-24T21:58:16.563Z	2022-02-24T21:58:16.563Z	False	True	
NASA CMR STAC	7	https://cmr.earthdata.nasa.gov/stac/	cmr-stac	SpatioTemporal Asset Catalog API on top of NASA's [Common Metadata Repository](https://cmr.earthdata.nasa.gov/search/). The Common Metadata Repository (CMR) is a high-performance, high-quality, continuously evolving metadata system that catalogs Earth Science data and associated service metadata records.	public	2020-08-20T00:00:00.000Z	2023-02-15T11:00:00.000Z	False	True	
NASA ISERV	14	https://nasa-iserv.s3-us-west-2.amazonaws.com/catalog/catalog.json	nasa-iserv	ISS SERVIR Environmental Research and Visualization System (ISERV) Level-0 Product. These products were created at the ISERV Science Operation Center (SOC) at the National Space Science and Technology Center. ISERV is an automated system designed to acquire images of the Earth's surface from the International Space Station (ISS).	public	2020-09-01T20:05:35.697Z	2020-09-01T20:05:35.697Z	False	False	
New Zealand Elevation	92	https://nz-elevation.s3-ap-southeast-2.amazonaws.com/catalog.json	nz-elevation	Toitū Te Whenua Land Information New Zealand makes New Zealand's publicly owned elevation archive freely available to use under an open licence. This public S3 bucket has been made available to enable bulk access and cloud-based data processing.	public	2024-03-14T00:44:17.769Z	2024-03-14T00:44:17.769Z	False	False	
New Zealand Imagery	82	https://nz-imagery.s3-ap-southeast-2.amazonaws.com/catalog.json	nz-imagery	Toitū Te Whenua Land Information New Zealand makes New Zealand's publicly owned aerial and satellite imagery archive freely available to use under an open licence. This public S3 bucket has been made available to enable bulk access and cloud-based data processing.	public	2023-09-18T02:32:53.754Z	2023-09-18T02:32:53.754Z	False	False	
Open Science Catalog	66	https://esa-earthcode.github.io/open-science-catalog-metadata/catalog.json	osc	Open Science Catalog (OSC) Catalog by the European Space Agency (ESA)	public	2023-01-06T17:21:43.499Z	2024-04-19T09:21:43.499Z	False	True	
OpenAerialMap Example	20	https://raw.githubusercontent.com/m-mohr/oam-example/main/catalog.json	openaerialmap-example	Example STAC Item for an entry on OpenAerialMap, created during the STAC Intro and Q&A.	public	2020-09-08T18:25:21.672Z	2023-01-10T10:44:21.672Z	False	False	
OpenLandMap STAC	87	https://s3.eu-central-1.wasabisys.com/stac/openlandmap/catalog.json	openlandmap	Global layers organized / produced by OpenGeoHub and publicly available in [OpenLandMap](https://openlandmap.org) including MODIS, PROBA-V and Landsat images, land cover & land use maps, soil predictions and potential natural vegetation.	public	2023-11-06T14:18:20.927Z	2023-11-06T14:18:20.927Z	False	False	
OpenTopography Data Catalog	25	https://portal.opentopography.org/stac/catalog.json	opentopography	A catalog of topography datasets hosted by OpenTopography	public	2020-11-18T04:57:20.431Z	2020-11-18T04:57:20.431Z	False	False	
Openeo Platform	40	https://openeocloud.vito.be/openeo/1.0.0/	openeo-platform	openEO platform provides intuitive programming libraries to process a wide variety of earth observation datasets. This large-scale data access and processing is performed on multiple infrastructures, which all support the openEO and STAC API.	protected	2021-10-27T21:02:47.508Z	2021-10-27T21:02:47.508Z	True	True	Please see [openeo.cloud](https://openeo.cloud) for more information on how to get access to the Platform API.
Paituli STAC (Finland)	72	https://paituli.csc.fi/geoserver/ogc/stac/v1	paituli-stac-finland	Paituli STAC includes several open Finnish datasets. More information: https://paituli.csc.fi/stac.html Mainained by CSC - IT center for science.	public	2023-04-13T10:15:39.875Z	2023-08-25T10:15:00.875Z	False	True	
Pangeo Cloud Data Catalog	17	https://raw.githubusercontent.com/charlesbluca/pangeo-datastore-stac/master/master/catalog.json	pangeo	Experimental STAC catalog of ocean, weather, and climate data stored in Zarr format in Google Cloud Storage.	public	2020-09-03T13:10:10.994Z	2020-09-03T13:10:10.994Z	False	False	
Planet Labs STAC Catalog	44	https://www.planet.com/data/stac/catalog.json	planet-labs-stac-catalog	This catalog serves as the main root STAC Catalog for Planet Labs. It links to 3 small static catalogs of open data, including a small set of Planet Disaster Data, some CC-BY SkySat collects and the complete Spacenet 7 images and labels.	public	2021-12-08T22:55:27.717Z	2021-12-08T22:55:27.717Z	False	False	
Polar Geospatial Center Data Catalog	61	https://pgc-opendata-dems.s3.us-west-2.amazonaws.com/pgc-data-stac.json	polar-geospatial-center	Includes data from multiple projects, each with 2m GSD and usually available in mosaics and strips: ArcticDEM (DEMs over the Arctic, starting 2007), EarthDEM (DEMs over non-polar regions, staring 2008) and REMA (Reference Elevation Model of Antarctica, starting 2009).	public	2023-01-04T10:20:07.793Z	2023-01-04T10:20:07.793Z	False	False	
Radiant MLHub	5	https://api.radiant.earth/mlhub/v1/	radiant-mlhub	Open library for geospatial training data to advance machine learning applications on Earth Observations.	protected	2020-08-20T00:00:00.000Z	2020-08-20T00:00:00.000Z	True	True	An access token can be acquired by registering on the [MLHub Dashboard](https://dashboard.mlhub.earth/).
RapidAI4EO	74	https://radiantearth.blob.core.windows.net/mlhub/rapidai4eo/stac-v1.0/catalog.json	rapidai4eo-v1	RapidAI4EO corpus of spatiotemporal imagery and LULC labels for machine learning training.	public	2023-05-18T09:22:01.688Z	2023-05-18T09:22:01.688Z	False	False	
S2 for Ghana	31	https://gws-access.jasmin.ac.uk/public/odanceo/S2_L2/collection.json	s2-for-ghana	Sentinel 2 Surface Reflectance over Ghana using SIAC AC.	public	2021-04-21T13:43:48.505Z	2021-04-21T13:43:48.505Z	False	False	
SPOT Orthoimages of Canada (2005-2010)	12	https://spot-canada-ortho.s3.amazonaws.com/catalog.json	spot-orthoimages-canada-2005	Canada's Orthoimages 2005-2010 is the national medium-resolution imagery coverage of Canada. These digital raster data acquired by the Spot4 and Spot5 satellites comprise five spectral bands.	public	2020-08-24T20:59:43.049Z	2020-08-24T20:59:43.049Z	False	False	
Satellite Vu public static STAC	51	https://stac.satellitevu.com	satellite-vu-public-static-stac	Sample imagery from flight campaigns ran by Satellite Vu in March and April 2021. Consists of 5 images resampled to the highest resolution achievable by Satellite Vu's sensor from orbit.	public	2022-04-20T15:50:03.156Z	2022-04-20T15:50:03.156Z	False	False	
Sentinel 3 Level 2+3 on AWS	65	https://meeo-s3.s3.amazonaws.com/catalog.json	sentinel-3-aws	Observations from the Sentinel-3 satellite of the European Commission’s Copernicus Earth Observation Programme, available in Level 2 and 3. Hosted on AWS.	public	2023-01-04T11:24:29.169Z	2023-01-04T11:24:29.169Z	False	False	
Sentinel 5P Level 2 on AWS	11	https://meeo-s5p.s3.amazonaws.com/catalog.json	sentinel-5p-level2-aws	Observations from the Sentinel-5 Precursor (Sentinel-5P) satellite of the European Commission’s Copernicus Earth Observation Programme. Hosted on AWS.	public	2020-08-24T20:55:25.010Z	2020-08-24T20:55:25.010Z	False	False	
Sentinel Hub	3	https://services.sentinel-hub.com/api/v1/catalog/1.0.0/	sentinel-hub	Sentinel Hub Catalog is an API implementing the STAC Specification, describing geospatial information about different data used with Sentinel Hub.	protected	2020-08-20T00:00:00.000Z	2022-12-07T11:00:00.000Z	True	True	The Sentinel Hub API uses OAuth2 Authentication and requires that you have an access token. See the [Authentication chapter](https://docs.sentinel-hub.com/api/latest/api/overview/authentication/) for more information.
Sentinel-1 RTC CONUS	59	https://raw.githubusercontent.com/scottyhq/sentinel1-rtc-stac/main/collection.json	sentinel-1-rtc-conus	Sentinel1 radiometric terrain corrected backscatter (RTC) over CONUS since 2017. These radar data have been processed from original GRD scenes into a Radiometrically Terrain Corrected, tiled product suitable for analysis.	public	2023-01-04T10:01:53.109Z	2023-01-04T10:01:53.109Z	False	False	
Sentinel-2 and Landsat-8 catalog	18	https://tamn.snapplanet.io	sentinel-2-and-landsat-8-catalog	Up to date Sentinel-2 and Landsat-8 catalog used for demo with rocket client.	public	2020-09-03T13:15:22.526Z	2020-09-03T13:15:22.526Z	False	True	
Terrascope	62	https://services.terrascope.be/stac/	terrascope	VITO Remote Sensing EO Data Catalogue for the Terrascope platform. Offers Sentinel-1/2/5P, PROBA-V, WorldCover, DEMs, CLS and more.	protected	2023-01-04T11:14:18.546Z	2023-01-04T11:14:18.546Z	True	True	You need to register yourself a Terrascope account at <https://portal.terrascope.be/home> and subscribe to a paid plan.
The National Map	86	https://gp-sit-us-east-1-public-configs.s3.amazonaws.com/stac/national_map/catalog.json	the-national-map	The National Map is a suite of products and services that provide access to base geospatial information to describe the landscape of the United States and its territories. The National Map embodies 11 primary products and services and numerous applications and ancillary services.	public	2023-10-13T23:47:48.036Z	2023-10-13T23:47:48.036Z	False	False	
UK NCEO Analysis Ready Data (ARD)	54	https://gws-access.jasmin.ac.uk/public/nceo_ard/NCEO_ARD_STAC/catalog.json	uk-nceo-analysis-ready-data-ard	This STAC catalog contains Sentinel 2 (S2) surface reflectance over the UK from 2017 to 2019. The surface reflectance have been processed by SIAC atmospheric correction method, with per pixel uncertainty information.	public	2022-08-18T12:23:01.252Z	2022-08-18T12:23:01.252Z	False	False	
US GeoPlatform	85	https://stac.geoplatform.gov/catalog.json	geoplatform-stac-catalog	GeoPlatform.gov provides official list of National STAC Sources.	public	2023-10-13T23:46:58.015Z	2023-10-17T12:46:58.015Z	False	False	
USGS 3DEP LiDAR Point Clouds	13	https://usgs-lidar-stac.s3-us-west-2.amazonaws.com/ept/catalog.json	usgs-3dep-lidar	LiDAR 3DEP elevation data over the conterminous United States, Hawaii, and the U.S. territories, acquired over an 8-year period. Hosted on AWS.	public	2020-08-26T19:23:18.645Z	2021-05-13T19:23:18.645Z	False	False	
USGS Astrogeology Provided Analysis Ready Data	38	https://asc-stacbrowser.s3.us-west-2.amazonaws.com/catalog.json	usgs-astrogeology-ard	Analysis Ready Data (ARD) hosted by USGS Astrogeology. This catalog is organized by planetary body (e.g., Mars or Jupiter). Within each sub-catalog, users will find ARD orgamized by moon and/or data type (e.g., Europa, or kaguyaTC DTMs) depending upon how much logical nesting is required.	public	2021-08-11T14:09:33.168Z	2021-08-11T14:09:33.168Z	False	False	
USGS Landsat Collection 2 API	41	https://landsatlook.usgs.gov/stac-server/	usgs-landsat-collection-2-api	USGS authoritative source for Landsat Collection 2 data	public	2021-10-29T06:24:42.967Z	2023-02-15T11:00:00.000Z	False	True	
UVT STAC Catalog	67	https://stac.sage.uvt.ro	uvt-stac-catalog	Spatio-Temporal Asset Catalog containing various geospatial products distributed by West University of Timisoara	public	2023-02-13T11:43:40.718Z	2023-02-13T11:43:40.718Z	False	True	
Umbra Open SAR Data	81	https://s3.us-west-2.amazonaws.com/umbra-open-data-catalog/stac/catalog.json?.language=en	umbra-open-sar-data	Umbra Open SAR Data available as part of the AWS Open Data program	public	2023-09-13T12:33:49.993Z	2023-09-13T12:33:49.993Z	False	False	
VITO (openEO)	10	https://openeo.vito.be/openeo/1.0/	vito-openeo	openEO API to the VITO Remote Sensing product catalog and processing services.	protected	2020-08-24T20:44:28.248Z	2023-02-15T11:00:00.000Z	True	True	Contact [Jeroen Dries](https://remotesensing.vito.be/team/jeroen-dries) or [VITO Remote Sensing](https://remotesensing.vito.be/contact-us) for more information.
WeatherLayers	49	https://catalog.weatherlayers.com/catalog	weatherlayers	WeatherLayers is Weather Visualization as a Service, providing pre-processed weather data for visualization and a frontend weather visualization library, which can be used with both cloud and custom self-hosted data. See [WeatherLayers](https://weatherlayers.com/) for more details.	protected	2022-03-26T16:47:34.737Z	2024-04-19T11:00:00.000Z	True	False	Subscription plans are available to access periodically pre-processed weather data for visualization. See [WeatherLayers](https://weatherlayers.com/) for more details.
World Bank - Light Every Night	28	https://globalnightlight.s3.amazonaws.com/VIIRS_npp_catalog.json	world-bank-light-every-night	Nightly visible radiance catalogues from VIIRS DNB NPP for 2012/04 through 2020/12.	public	2021-02-16T10:01:48.253Z	2021-02-16T10:01:48.253Z	False	False	
